Date,Open,High,Low,Close,AdjClose,Volume
1/3/2000,0.936384,1.004464,0.907924,0.999442,0.855797,535796800
1/4/2000,0.966518,0.987723,0.90346,0.915179,0.783644,512377600
1/5/2000,0.926339,0.987165,0.919643,0.928571,0.795112,778321600
1/6/2000,0.947545,0.955357,0.848214,0.848214,0.726304,767972800
1/7/2000,0.861607,0.901786,0.852679,0.888393,0.760708,460734400
1/10/2000,0.910714,0.912946,,0.872768,0.747329,505064000
,0.856585,0.887277,0.808036,0.828125,0.709102,441548800
1/12/2000,0.848214,0.852679,0.772321,0.77846,0.666575,976068800
1/13/2000,,0.881696,0.825893,0.863839,0.739683,1032684800
1/14/2000,0.892857,0.912946,0.887277,0.896763,0.767875,390376000
1/18/2000,0.901786,0.946429,0.896763,0.928013,0.794634,459177600
1/19/2000,0.94308,0.970982,0.922991,0.951451,0.814703,597643200
1/20/2000,1.03125,1.084821,1.013393,1.013393,0.867742,1831132800
1/21/2000,1.020089,,0.983817,0.993862,0.851019,495924800
1/24/2000,0.968192,1.006696,0.938616,0.948661,0.812314,440876800
1/25/2000,0.9375,1.010045,0.914063,1.002232,0.858186,497145600
1/26/2000,0.982143,1.019531,0.979911,0.983817,0.842417,367158400
1/27/2000,0.97154,1.008929,0.955357,0.982143,0.840984,
1/28/2000,0.96596,0.989955,0.898438,0.907366,0.776954,423348800
1/31/2000,0.901786,0.927455,0.84375,0.926339,0.7932,701680000
2/1/2000,0.928571,0.9375,0.892857,0.895089,0.766442,318035200
2/2/2000,0.899554,0.91183,0.866071,0.882254,0.755452,464195200
2/3/2000,0.895647,0.930804,0.895089,0.922433,0.789856,475193600
2/4/2000,,0.982143,0.925223,0.964286,0.825693,425320000
2/7/2000,0.964286,1.020089,0.945871,1.018415,0.872043,441067200
2/8/2000,1.017857,1.03683,0.993304,1.02567,0.878255,408643200
2/9/2000,1.018973,1.045759,1.003906,1.00558,0.861052,299364800
2/10/2000,1.007813,1.016741,0.982143,1.013393,0.867742,302982400
2/11/2000,1.014509,1.018973,0.966518,0.970982,0.831427,212251200
2/14/2000,0.976004,1.034598,0.969866,1.03404,0.885422,367539200
2/15/2000,1.029018,1.070871,1.02846,1.0625,0.909791,485744000
2/16/2000,1.051339,1.054688,1.001116,1.018973,0.872521,378246400
2/17/2000,1.02846,1.03125,1.010045,1.02567,0.878255,289497600
2/18/2000,1.023438,1.030134,0.989955,0.993304,0.850541,233441600
2/22/2000,0.983259,1.044085,0.952567,1.016183,0.870132,422296000
2/23/2000,1.011021,1.0625,0.991071,1.037946,0.888767,473099200
2/24/2000,1.047433,1.063616,0.997768,1.028599,0.880763,376432000
2/25/2000,1.025112,1.044643,0.983259,0.985491,0.843851,249144000
2/28/2000,0.983259,1.026786,0.967634,1.011161,0.865831,328328000
2/29/2000,1.013951,1.046875,1.005022,1.023438,0.876344,368961600
3/1/2000,1.058594,1.179129,1.058036,1.163504,0.996278,1077003200
3/2/2000,1.133929,1.142299,1.077567,1.089286,0.932728,311259200
3/3/2000,1.114955,1.14495,1.071429,1.142857,0.978599,323366400
3/6/2000,1.125,1.152902,1.116071,1.12221,0.960919,210560000
3/7/2000,1.128906,1.137835,1.081473,1.097098,0.939417,273011200
3/8/2000,1.097098,1.106585,1.058594,1.089286,0.932728,271230400
3/9/2000,1.079241,1.116071,1.055804,1.091518,0.934639,276718400
3/10/2000,1.086496,1.142299,1.080357,1.122768,0.961398,248606400
3/13/2000,1.090402,1.129464,1.066964,1.083147,0.927471,303956800
3/14/2000,1.08231,1.109375,1.017857,1.020089,0.873476,428579200
3/15/2000,1.032366,1.073661,1.018973,1.037946,0.888767,443609600
3/16/2000,1.047433,1.089286,1.022321,1.085379,0.929382,378100800
3/17/2000,1.072545,1.116071,1.06808,1.116071,0.955663,305043200
3/20/2000,1.102679,1.127232,1.092634,1.098214,0.940373,204489600
3/21/2000,1.094308,1.220982,1.085938,1.204799,1.031638,524328000
3/22/2000,1.185547,1.289063,1.174665,1.287388,1.102357,567996800
3/23/2000,1.267857,1.342634,1.25,1.261719,1.080378,562564800
3/24/2000,1.271763,1.285156,1.209821,1.238281,1.060308,446913600
3/27/2000,1.228795,1.292411,1.222098,1.246094,1.066998,279182400
3/28/2000,1.225446,1.267857,1.22433,1.242188,1.063653,202966400
3/29/2000,1.24442,1.244978,1.194894,1.213728,1.039284,239836800
3/30/2000,1.192522,1.229353,1.119978,1.122768,0.961398,414400000
3/31/2000,1.137835,1.225446,1.125,1.212612,1.038328,404633600
4/3/2000,1.209821,1.245536,1.155692,1.19029,1.019215,328563200
4/4/2000,1.184152,1.1875,1.042411,1.136719,0.973343,660329600
4/5/2000,1.129185,1.186384,1.107143,1.164063,0.996757,457665600
4/6/2000,1.166295,1.200893,1.100446,1.117746,0.957097,259627200
4/7/2000,1.136161,1.177455,1.120536,1.176339,1.007269,242435200
4/10/2000,1.175781,1.185268,1.113839,1.116071,0.955663,212262400
4/11/2000,1.102679,1.114955,1.054129,1.066406,0.913136,541822400
4/12/2000,1.0625,1.0625,0.936384,0.975446,0.835249,941136000
4/13/2000,0.995536,1.071429,0.96875,1.016183,0.870132,529827200
4/14/2000,0.976004,1.053571,0.973214,0.998884,0.855319,667620800
4/17/2000,0.977679,1.106585,0.973772,1.106027,0.947062,409561600
4/18/2000,1.102679,1.132813,1.065848,1.132813,0.969999,390924800
4/19/2000,1.126674,1.162946,1.069196,1.081473,0.926038,520150400
4/20/2000,1.104353,1.113839,1.045201,1.061384,0.908836,722120000
4/24/2000,1.026786,1.075893,1.024554,1.075893,0.92126,443620800
4/25/2000,1.090402,1.149554,1.089844,1.145647,0.980988,391641600
4/26/2000,1.13058,1.142857,1.071429,1.083147,0.927471,366912000
4/27/2000,1.046317,1.133929,1.040876,1.131696,0.969042,326603200
4/28/2000,1.135045,1.138393,1.083147,1.107701,0.948496,249580800
5/1/2000,1.114955,1.117188,1.08817,1.109933,0.950407,226195200
5/2/2000,1.100446,1.127232,1.049107,1.052455,0.90119,236432000
5/3/2000,1.061942,1.082589,0.996652,1.027344,0.879688,489798400
5/4/2000,1.027902,1.029018,0.987165,0.988281,0.84624,399515200
5/5/2000,0.989397,1.024554,0.98856,1.010045,0.864876,284076800
5/8/2000,1.000837,1.015067,0.982143,0.983259,0.841939,184900800
5/9/2000,0.984933,0.993304,0.936384,0.941406,0.806102,327140800
5/10/2000,0.929129,0.9375,0.881696,0.886719,0.759275,535091200
5/11/2000,0.905134,0.930804,0.883929,0.917969,0.786033,499744000
5/12/2000,0.946429,0.986607,0.935407,0.960938,0.822827,306913600
5/15/2000,0.964844,0.964844,0.893973,0.901786,0.772176,678932800
5/16/2000,0.933175,0.973772,0.917411,0.943638,0.808013,440451200
5/17/2000,0.925223,0.925781,0.896205,0.905134,0.775043,398092800
5/18/2000,0.919643,0.936942,0.898438,0.899554,0.770265,373777600
5/19/2000,0.886161,0.886161,0.833705,0.839286,0.718659,740667200
5/22/2000,0.837054,0.837054,0.767857,0.803013,0.687599,755507200
5/23/2000,0.808036,0.833705,0.764509,0.766183,0.656063,517585600
5/24/2000,0.769531,0.801339,0.741071,0.782924,0.670398,678462400
5/25/2000,0.790179,0.827288,0.767857,0.779157,0.667172,406750400
5/26/2000,0.785714,0.802455,0.761161,0.771205,0.660363,181148800
5/30/2000,0.782366,0.78683,0.729911,0.781808,0.669442,713059200
5/31/2000,0.77567,0.814732,0.748326,0.75,0.642206,433507200
6/1/2000,0.729911,0.799665,0.717634,0.795759,0.681388,903840000
6/2/2000,0.837054,0.890625,0.794643,0.826451,0.707669,792848000
6/5/2000,0.833147,0.850446,0.800781,0.81529,0.698112,323668800
6/6/2000,0.82115,0.863839,0.806362,0.829241,0.710058,525481600
6/7/2000,0.835938,0.866071,0.81808,0.862165,0.73825,337019200
6/8/2000,0.871652,0.879464,0.831473,0.84654,0.724871,238526400
6/9/2000,0.863839,0.874442,0.842634,0.854911,0.732038,252358400
6/12/2000,0.860491,0.861049,0.811384,0.814174,0.697156,290337600
6/13/2000,0.814174,0.845424,0.787388,0.84375,0.722482,351456000
6/14/2000,0.845424,0.859375,0.804688,0.807478,0.691423,277446400
6/15/2000,0.814732,0.833705,0.794643,0.824777,0.706236,248572800
6/16/2000,0.834821,0.837054,0.795201,0.814174,0.697156,303564800
6/19/2000,0.808594,0.873884,0.801897,0.862723,0.738727,394004800
6/20/2000,0.879464,0.928013,0.878348,0.904018,0.774088,501390400
6/21/2000,0.901786,1.016741,0.898438,0.993304,0.850541,490000000
6/22/2000,0.995536,1.029018,0.956473,0.959821,0.82187,467712000
6/23/2000,0.960379,0.975446,0.907366,0.922991,0.790334,204965600
6/26/2000,0.9375,0.977679,0.930804,0.966518,0.827605,185354400
6/27/2000,0.960379,0.991071,0.921875,0.924107,0.791289,203470400
6/28/2000,0.952009,0.988839,0.919643,0.972098,0.832383,286428800
6/29/2000,0.947545,0.96317,0.91183,0.915179,0.783644,203660800
6/30/2000,0.94308,0.981027,0.922991,0.935268,0.800846,323097600
7/3/2000,0.930804,0.969866,0.930804,0.952009,0.815181,70828800
7/5/2000,0.950893,0.985491,0.90625,0.921875,0.789378,265216000
7/6/2000,0.9375,0.945313,0.886161,0.925223,0.792245,309545600
7/7/2000,0.939174,0.978795,0.930804,0.972098,0.832383,263603200
7/10/2000,0.96596,1.040179,0.959821,1.020089,0.873476,397796000
7/11/2000,1.017857,1.058036,0.989955,1.016741,0.870609,357896000
